L,R,F,M,C
36,2,14,15844,0.869893966
78,0,7,18032,0.764285714
57,7,12,17360,0.793858295
72,5,12,19208,0.717469804
56,0,40,22175,0.621466967
96,4,11,15934,0.864850006
39,2,23,21624,0.637134665
64,0,12,17272,0.797616952
101,0,17,18439,0.747119692
27,2,19,23621,0.583195885
108,0,14,21267,0.647695961
46,0,15,18633,0.739253475
41,8,19,21974,0.626853099
28,0,15,16861,0.816825218
86,0,15,18321,0.751636374
36,0,18,18378,0.749282294
62,2,12,17362,0.793006566
88,2,17,20030,0.687371942
33,5,13,18844,0.730602844
55,5,12,20514,0.671088037
22,0,15,23567,0.584123987
32,6,15,18857,0.729946439
41,0,20,23935,0.575057029
21,0,26,19959,0.689604189
56,0,21,17678,0.778559792
108,3,12,18308,0.751728752
104,6,13,19130,0.719396236
68,1,19,21952,0.626884566
13,0,5,16150,0.852
17,1,20,22812,0.603137384
113,8,10,16981,0.810207879
19,6,9,19536,0.704241912
85,7,11,16888,0.814615111
40,4,14,23452,0.586577691
54,0,12,23449,0.586649751
58,0,16,19408,0.70875
29,2,16,16607,0.828267598
66,0,20,21536,0.638689636
12,6,13,20217,0.6803502
31,1,14,22262,0.617846555
64,3,9,13802,0.996517171
30,10,12,17391,0.790860215
59,2,6,17586,0.782036279
26,1,16,25629,0.536580436
61,5,24,16766,0.820226649
61,0,22,18944,0.725891575
12,0,13,22395,0.614020987
51,10,13,20700,0.664272947
103,0,6,9543,1.440886514
21,0,14,16322,0.842415145
107,8,14,15258,0.901127277
20,11,11,21560,0.637646104
40,1,16,20145,0.682421445
58,3,12,22014,0.62447488
67,18,3,17166,0.800736922
76,1,15,20407,0.673560543
42,1,11,23398,0.587454483
24,1,13,20034,0.686091145
38,5,11,17360,0.791767281
99,10,11,14204,0.967671079
83,6,5,18463,0.744434274
18,8,6,9373,1.46638963
104,0,15,18482,0.743652202
29,11,4,10572,1.3
34,1,19,26877,0.511334598
15,3,11,21858,0.628733644
16,5,11,10088,1.362192704
87,2,17,25133,0.546762026
68,0,16,20752,0.662022456
94,0,16,21748,0.63166774
90,6,14,22963,0.598223664
23,5,23,19082,0.719873703
21,0,12,20388,0.673749755
12,9,8,23106,0.594480654
83,3,18,20552,0.668311113
33,16,8,9156,1.5
39,3,25,21094,0.651076609
32,6,10,14064,0.976406428
47,2,10,19177,0.716056213
73,0,15,18205,0.754264762
74,1,11,17920,0.766239397
110,0,12,20470,0.670767465
78,16,13,13730,1.0
93,0,15,17476,0.785535592
22,6,5,16150,0.85
21,20,4,19142,0.717119423
34,2,13,18097,0.758516881
15,0,10,17964,0.76409931
103,2,12,13562,1.012099985
83,0,16,20187,0.679936097
18,2,14,19843,0.691717986
72,5,12,17618,0.779015212
62,0,16,23960,0.572805092
29,11,12,23763,0.577540715
18,0,37,16999,0.807335726
108,3,17,17518,0.783333143
55,0,18,17107,0.801982229
109,0,20,24112,0.568984738
28,0,14,17025,0.805750954
76,16,22,19341,0.709247195
29,9,15,30528,0.449335364
26,1,6,17619,0.778499915
63,4,17,16291,0.841914554
15,0,13,27011,0.507742401
57,0,20,21084,0.650471448
23,0,10,13277,1.032934398
91,4,18,19593,0.699914765
22,1,10,18127,0.756466045
36,5,9,19884,0.689607725
96,2,6,19040,0.720161765
48,0,12,17099,0.801827007
101,7,10,24435,0.561092695
29,7,23,15870,0.863913043
79,7,12,18634,0.735736825
30,6,21,24602,0.557258759
28,1,8,12291,1.115395004
82,0,14,20146,0.680462126
17,1,11,25307,0.541668313
22,12,5,9512,1.441126997
46,1,9,19372,0.707613566
44,5,8,18163,0.75469581
70,1,15,18837,0.727681159
75,6,12,16368,0.837437683
39,3,18,20612,0.664969435
36,4,14,20097,0.68192367
44,0,11,23452,0.584367218
14,0,9,21548,0.635997308
111,2,12,23421,0.58511891
75,2,8,17038,0.804323277
101,4,11,22080,0.620627717
16,0,23,21863,0.626751589
73,0,26,27196,0.503846154
17,0,9,24802,0.552419966
22,11,14,18629,0.735466209
28,11,11,15241,0.898910833
19,0,19,15971,0.857797884
55,3,16,19333,0.708588424
27,1,4,12513,1.094730281
39,4,15,20894,0.655436489
27,2,12,21293,0.643141408
16,0,15,26392,0.518881479
16,0,14,19819,0.690916292
108,0,11,11670,1.173361611
58,2,29,15988,0.856436703
67,18,8,18929,0.723347773
12,0,13,17296,0.791627544
27,3,19,15984,0.856575951
14,1,10,19670,0.696
54,12,24,21449,0.638253532
39,0,14,25232,0.542483751
36,20,11,15860,0.863001261
48,0,14,18214,0.751454925
30,0,13,17806,0.7686381
58,5,18,24620,0.5559013
28,0,18,20909,0.654529628
70,0,28,18034,0.75887213
72,2,15,21740,0.629473781
46,12,4,25224,0.542467491
56,9,10,25581,0.534853602
91,0,17,17971,0.761328808
73,0,21,23765,0.575657479
22,9,14,15896,0.860563664
41,1,6,26734,0.511665295
95,8,4,9436,1.449620602
52,7,13,18316,0.746812077
87,3,12,18204,0.751359591
40,3,22,20877,0.655144896
78,11,12,12115,1.128947586
60,0,7,21690,0.630573997
93,10,7,18410,0.742857143
37,0,20,16929,0.807823262
54,0,14,20672,0.661496227
67,2,11,20680,0.66115764
82,12,10,22153,0.617110549
66,1,13,23261,0.587663471
34,0,12,24218,0.564401272
39,2,7,19618,0.69664186
31,1,18,19788,0.690618051
69,0,15,20776,0.657772911
19,0,11,12608,1.083905457
22,0,15,18280,0.747545405
55,4,14,22571,0.60537238
66,0,18,21684,0.630097307
62,1,16,21501,0.635404865
29,3,8,22545,0.605956975
24,0,10,20838,0.655497649
24,5,10,18434,0.740966692
83,7,7,19551,0.698571429
81,5,8,17072,0.8
29,4,14,28264,0.483197707
93,0,13,15941,0.856721661
15,0,24,21270,0.642059238
68,0,16,26627,0.512874526
29,0,7,19622,0.695924473
76,1,13,16875,0.809206519
31,1,6,23128,0.590393462
30,0,17,21218,0.643463097
20,10,10,18984,0.719179309
111,7,12,18002,0.758401844
41,0,13,17755,0.768941707
103,3,15,19123,0.71392041
12,0,12,22975,0.594206311
34,3,17,22185,0.615355871
45,3,16,17945,0.760674283
29,0,15,21227,0.643056014
104,6,13,23199,0.58837493
63,3,15,17320,0.788037529
74,0,17,22543,0.605330701
49,2,13,17273,0.789998263
29,1,12,21696,0.628934827
86,0,10,22052,0.618757482
19,1,16,19484,0.700309998
54,1,19,24689,0.552664749
82,0,13,18453,0.739408226
80,7,14,20200,0.675428713
94,0,13,17266,0.790173752
26,4,21,16046,0.850249283
22,0,19,30445,0.448120874
12,0,9,16742,0.814891889
107,0,16,18782,0.726308167
53,0,20,17082,0.798557546
28,0,12,18722,0.728585621
54,0,15,19707,0.692155072
63,3,15,18716,0.728773776
72,4,16,19130,0.712930998
81,9,9,17298,0.788423517
23,0,22,17709,0.770119148
82,0,20,27114,0.502941654
26,19,11,12350,1.104
73,11,10,14575,0.935423671
32,22,2,14113,0.966024942
14,2,7,11222,1.214885047
48,2,10,17587,0.775126514
48,0,21,22142,0.615642218
17,0,5,9835,1.386
77,1,13,25571,0.533076923
84,0,13,19007,0.717155259
95,0,13,21716,0.627689722
48,0,39,23742,0.574112543
108,0,12,22046,0.618277239
23,1,15,20276,0.672243046
111,1,18,17010,0.801271605
20,4,14,18796,0.725127155
60,0,8,16565,0.822746152
44,2,10,23102,0.589929443
39,3,15,17906,0.761091813
49,0,17,19627,0.694353187
31,17,9,24048,0.566666667
44,0,23,18606,0.73238364
27,9,12,20342,0.66986432
12,1,11,18706,0.72842457
66,3,15,17025,0.800333627
31,14,12,23868,0.570833333
98,2,11,21288,0.639993424
18,3,13,23603,0.577198661
73,5,8,15239,0.893994357
21,0,17,23702,0.574768796
69,0,21,25969,0.524574685
71,3,8,11255,1.210149267
47,1,18,19208,0.709041545
64,2,18,14538,0.936735452
102,0,15,25119,0.542116724
78,0,20,14326,0.950539578
28,18,7,21339,0.638127372
25,11,11,17314,0.786363636
70,6,13,15601,0.872626114
23,1,17,24236,0.56168097
81,0,14,18111,0.751554856
76,0,8,12236,1.112402746
114,2,22,24478,0.556054825
80,14,10,22264,0.611235627
108,2,13,16471,0.826211523
12,0,5,19279,0.705859744
37,0,18,16639,0.817851433
57,0,13,17022,0.799426624
44,1,8,18398,0.739631482
94,2,12,16989,0.800954735
69,0,14,12111,1.123492693
18,1,11,19274,0.705942721
16,1,16,15431,0.881675199
75,9,17,16420,0.828520097
64,7,10,19541,0.696184944
64,0,15,24835,0.547758405
51,5,18,21789,0.624265455
21,0,20,15716,0.865465131
107,0,9,17665,0.769970563
64,1,15,18786,0.724001384
18,1,16,22910,0.593649498
60,3,13,18282,0.743900558
93,0,19,21867,0.621891892
27,7,14,20483,0.663781184
37,5,14,14437,0.941698414
30,12,4,18458,0.736547838
54,4,22,20389,0.666696258
81,0,21,20992,0.647510004
18,5,19,17782,0.7642633
18,2,8,21198,0.641099632
65,2,10,16871,0.805517752
78,0,24,16504,0.823371304
59,0,10,19545,0.695258634
31,0,13,20451,0.664445748
52,2,13,16980,0.800094229
85,1,17,20957,0.648140955
81,0,11,20073,0.676578489
68,6,6,11310,1.200781609
23,4,7,19699,0.689413168
51,2,16,22828,0.594896618
20,4,14,20667,0.657069725
19,1,10,17890,0.759040246
33,0,11,19764,0.687068407
14,0,23,15148,0.896433193
16,3,9,11576,1.172994126
21,0,18,22811,0.595239577
87,2,15,15708,0.864378024
29,1,14,21645,0.627274197
45,0,18,18550,0.731839892
99,0,17,21102,0.643197801
19,2,20,17344,0.782552468
14,0,14,20182,0.672493806
14,0,14,21416,0.633742062
26,16,3,17080,0.79440281
19,2,5,16341,0.830305979
80,1,14,19515,0.69525237
26,2,16,15573,0.871234187
94,0,12,19136,0.708990907
16,0,14,23334,0.581411674
19,2,13,16713,0.81173039
21,18,5,16150,0.84
25,4,19,22825,0.594336911
78,6,14,18046,0.751635265
15,14,7,22876,0.592870257
95,4,17,16859,0.804460526
17,11,7,19540,0.693966223
84,5,12,16926,0.80104691
14,0,13,15221,0.890743052
12,0,15,18427,0.7357508
52,7,14,18333,0.739510173
46,1,17,15586,0.869813936
45,0,17,15196,0.892045275
20,1,13,17918,0.756366782
22,0,18,16606,0.816103818
25,0,25,29144,0.464976668
38,11,9,19206,0.705555556
18,6,8,14572,0.929827066
15,0,14,17112,0.791807504
32,12,7,14461,0.936916534
48,1,17,25183,0.537968868
42,7,9,19141,0.70777859
27,8,19,17714,0.76475048
37,3,12,16134,0.839619437
77,3,10,19367,0.699455259
39,3,13,19454,0.69630256
79,0,19,24178,0.560240301
87,2,7,10522,1.287318
107,0,15,16373,0.827238747
45,6,17,19297,0.701888895
23,0,21,22662,0.597660401
79,11,4,17815,0.760185237
19,0,14,20934,0.646852489
51,1,10,17817,0.759940506
75,1,11,12591,1.075291875
20,0,17,18312,0.739338685
96,4,6,21894,0.618333333
66,1,17,23621,0.57307396
65,0,5,11386,1.188727385
36,9,12,14154,0.956252649
69,2,10,18375,0.736586667
83,0,14,23039,0.587432614
15,2,5,16150,0.838
32,0,18,19455,0.695622205
41,0,25,17742,0.762741517
54,4,15,22996,0.588467125
28,0,14,29483,0.458989587
56,4,8,12200,1.109192623
98,1,25,14845,0.911528461
39,2,15,20343,0.665091678
21,4,10,16609,0.814585466
70,0,14,21610,0.626036557
60,0,18,19105,0.708118817
107,1,14,15427,0.876881442
17,3,18,23304,0.580432544
74,3,24,21897,0.61765767
68,1,7,14848,0.910874192
67,0,8,13472,1.003824228
19,3,15,23016,0.587564303
24,1,17,14452,0.935719624
84,5,9,19112,0.707549707
113,1,16,17935,0.75387622
87,1,10,18329,0.737613618
84,0,16,18179,0.743685571
76,0,16,18051,0.748952967
38,9,8,16705,0.809266687
82,0,12,20986,0.64411703
15,0,15,18718,0.722052035
86,0,13,16198,0.834280775
74,3,15,18027,0.749609475
35,0,13,16952,0.797100047
113,2,10,14737,0.916839248
22,0,19,29507,0.457894737
16,0,15,16477,0.819946592
52,5,4,16156,0.836236692
62,5,14,18078,0.747304458
105,1,15,21749,0.621150858
18,2,24,19200,0.703613021
35,1,11,15667,0.86227293
26,3,12,19182,0.704243562
30,0,15,16956,0.796684949
78,9,12,16014,0.843505683
93,1,10,20941,0.645040829
102,2,19,18121,0.745355113
85,6,11,24886,0.542735675
48,1,22,23020,0.586688097
78,10,13,13505,1.0
96,1,7,20872,0.64689632
76,1,10,20950,0.644483055
49,0,15,16547,0.815972684
73,3,8,19493,0.692650695
60,3,12,15100,0.894127815
43,5,10,20425,0.660995349
101,14,11,17074,0.790716879
26,0,14,20481,0.659133343
40,1,2,15168,0.89
42,2,20,21535,0.626837242
16,12,11,17711,0.762161933
72,0,15,15992,0.844033267
107,0,11,20656,0.653371902
57,12,16,18561,0.727037875
111,0,12,16841,0.801241019
25,6,12,22641,0.595982068
111,0,17,20095,0.671488928
88,0,15,20442,0.659841992
24,8,9,21064,0.640333745
82,9,9,20206,0.6675146
46,0,21,15995,0.843217255
37,2,21,18849,0.715534511
28,1,16,20829,0.647512123
17,2,7,24458,0.551428571
46,0,20,15887,0.848878958
32,0,13,17545,0.768599031
42,15,11,19465,0.692748523
16,1,6,18850,0.715289655
112,0,14,17629,0.76478473
53,2,14,26759,0.503844688
29,1,11,15302,0.881077637
26,6,7,15314,0.880302338
30,0,10,21460,0.628162162
68,2,4,18902,0.713170035
22,2,10,20387,0.661222348
50,0,17,21221,0.63517412
100,12,11,20225,0.666360939
91,0,23,17360,0.776164747
40,0,19,18443,0.730570948
77,1,7,17465,0.771468652
45,1,13,15791,0.853035907
47,1,8,19667,0.684909239
75,0,22,18861,0.714144001
90,0,14,18355,0.73377118
94,0,15,21330,0.631411627
61,0,17,22739,0.592206781
81,0,30,26258,0.512838373
106,5,15,19587,0.687438097
110,0,18,21821,0.617031758
16,1,11,17226,0.781609195
20,13,14,18673,0.720995555
78,2,2,15212,0.885
63,0,12,19688,0.683729683
14,0,8,13382,1.005917651
52,2,13,16728,0.804642516
107,0,18,15164,0.887623318
24,1,15,16208,0.830410908
96,1,9,18226,0.738411061
32,3,9,18920,0.711299683
21,8,9,14937,0.90094999
90,18,10,15716,0.856257954
36,24,2,24464,0.55
34,15,2,24464,0.55
22,22,2,24464,0.55
16,13,2,24464,0.55
37,14,2,24464,0.55
19,18,2,24464,0.55
37,14,2,24464,0.55
22,22,2,24464,0.55
23,21,2,24464,0.55
94,3,13,24181,0.556434391
21,0,23,21979,0.61214159
23,2,12,12911,1.042040121
81,2,21,15615,0.861579891
93,0,20,18207,0.738918548
46,4,25,16323,0.824067267
105,3,8,9050,1.486276243
54,7,14,17635,0.762726396
44,0,10,22517,0.59734867
80,6,18,19298,0.696971189
56,4,9,13577,0.990651101
43,8,20,15338,0.87687443
40,6,10,12963,1.037529121
84,3,15,18005,0.746950292
89,0,7,9517,1.413137543
45,0,17,13774,0.976358356
37,4,9,16499,0.815086975
63,0,18,17727,0.758609466
33,0,11,21823,0.616215003
26,0,17,16231,0.828342061
77,0,17,18536,0.725298878
47,0,20,20147,0.667260138
62,0,12,19111,0.70341845
44,0,17,19422,0.692153228
66,16,7,18240,0.736984649
44,11,15,18751,0.716887099
26,5,13,19389,0.693295167
40,2,17,16455,0.816887876
17,0,20,18202,0.738460609
52,0,11,22211,0.605169511
34,11,18,17636,0.762108755
74,5,8,13776,0.975632985
25,2,15,19464,0.690468044
48,1,41,16834,0.798333135
41,3,13,14480,0.928030387
35,0,14,17978,0.747444655
41,0,16,21377,0.628560135
18,0,22,17053,0.787833226
31,2,15,22621,0.593896822
66,7,10,16950,0.792531563
83,5,11,16625,0.807990376
75,3,7,19869,0.675992249
40,2,21,18301,0.733898148
28,10,12,23714,0.566357426
47,2,15,19088,0.703581308
53,4,13,17636,0.761474257
16,0,9,10184,1.318657698
71,0,23,23486,0.571787448
53,3,16,17218,0.779896039
51,6,14,20268,0.662433393
29,0,15,21289,0.630658556
28,4,21,15522,0.864966499
76,0,22,19248,0.697402847
34,3,13,24150,0.555830642
106,3,4,10308,1.302209934
21,2,12,20055,0.669257043
46,0,12,16923,0.793092832
111,1,11,18722,0.716812841
25,4,7,17269,0.777117957
16,2,11,19914,0.673841519
61,13,18,22405,0.598919884
57,1,17,18021,0.744597969
18,5,12,19129,0.701464792
34,14,5,10752,1.247953869
91,1,12,22994,0.583476994
72,2,15,16970,0.790553329
56,0,17,14755,0.909200271
99,4,17,17558,0.764014694
40,1,17,15937,0.84165715
55,3,10,17450,0.768662464
49,0,13,19100,0.702209948
27,2,17,14093,0.951583055
68,7,13,17102,0.784098351
23,17,6,16816,0.797428045
21,3,16,18258,0.734314273
22,4,19,19382,0.691709834
78,7,10,12899,1.039360416
85,1,7,17816,0.752488213
24,4,11,15962,0.839784488
15,9,5,16150,0.83
20,7,5,16150,0.83
73,0,12,20274,0.661146789
43,5,7,12410,1.080056406
66,2,14,26982,0.496719294
51,4,22,24414,0.548943639
88,5,13,20674,0.648155654
18,2,14,16864,0.794516722
16,0,22,17823,0.75174662
45,0,13,16135,0.83037868
62,6,12,18819,0.711895425
52,11,23,17617,0.760461486
86,2,23,15816,0.847011887
96,0,14,25252,0.530501742
21,0,19,17651,0.758947368
107,0,13,20706,0.646970443
14,4,17,18389,0.728470281
29,3,3,16166,0.828630459
71,8,9,18666,0.717643844
109,8,7,13769,0.972857143
75,3,18,18911,0.708276136
42,0,12,18594,0.720337206
57,1,20,21490,0.623237785
69,2,9,17362,0.771394425
50,0,5,21347,0.627297981
51,0,19,18064,0.741297609
16,16,4,16037,0.834980358
66,8,8,25775,0.519508826
30,1,9,15102,0.886648126
90,6,16,19671,0.68063037
14,3,10,16858,0.794180804
27,0,18,17781,0.752934593
95,0,22,18448,0.725699805
81,5,5,10584,1.264878118
113,0,16,20940,0.63930468
79,1,11,14106,0.948869984
62,0,28,18521,0.722677501
75,0,13,21812,0.613620026
78,2,16,17184,0.778851839
15,0,11,19496,0.686483381
53,3,21,21554,0.620935789
15,2,11,20687,0.646923672
66,1,16,22350,0.598743177
54,3,15,20031,0.667996605
104,1,9,17681,0.756768282
95,2,14,24132,0.554444306
85,1,12,23341,0.573168673
34,0,15,27599,0.484737853
15,1,8,18354,0.728896698
79,1,13,17896,0.747443004
19,5,21,23241,0.575532464
94,0,25,19109,0.699968078
111,6,12,26710,0.500741295
34,9,10,15655,0.854284893
31,7,10,20460,0.653630987
71,0,10,21180,0.631410293
34,7,12,28654,0.466685978
73,1,16,20702,0.645878176
25,1,14,15558,0.859418306
83,14,5,9176,1.457127289
17,1,18,24110,0.554533803
29,1,11,21431,0.623748309
38,0,9,10247,1.304522299
34,4,13,14426,0.926488285
46,7,12,16031,0.833513193
23,0,12,16033,0.833308177
20,0,11,17555,0.761034463
25,0,12,9794,1.364093322
15,2,13,20669,0.646368475
21,2,16,18570,0.719402262
41,1,7,18831,0.709413733
45,3,20,17886,0.746884714
82,4,11,17937,0.744748843
90,3,15,17323,0.771126826
22,1,13,16838,0.793248604
20,0,14,21768,0.613561191
45,2,15,24927,0.535795724
68,3,12,19049,0.701071972
62,6,13,20793,0.642245948
102,0,15,21966,0.607936811
71,0,17,17764,0.751698379
40,2,17,17471,0.764295118
53,4,17,15936,0.837836345
44,16,16,20709,0.644656912
29,2,13,19664,0.678799837
68,0,2,15168,0.88
78,0,21,19505,0.684309664
19,0,21,11988,1.113279947
23,5,3,13726,0.9723124
64,0,13,20148,0.662345642
32,0,13,18005,0.741154679
24,4,13,12641,1.055514595
91,10,13,17494,0.762678633
24,0,14,15803,0.844217554
48,22,4,26938,0.495254288
81,0,15,24201,0.551256146
38,7,14,20719,0.64386843
86,1,30,25742,0.518154767
92,10,23,16658,0.800600312
25,2,17,20632,0.646315917
102,2,19,23384,0.570208262
12,0,20,22503,0.592492557
39,1,16,15890,0.839068597
65,0,10,18483,0.721337986
16,1,11,21313,0.625552949
21,0,8,14292,0.93284075
16,1,12,18859,0.706901745
55,2,11,13704,0.972723292
31,8,13,19016,0.700923433
46,5,17,15127,0.881108614
43,0,12,16625,0.801640301
27,6,8,17111,0.778869733
45,1,11,16830,0.791818182
82,8,3,17276,0.771365478
17,1,12,18988,0.701795344
13,11,6,13397,0.994405464
83,4,11,15086,0.883059791
74,4,16,14880,0.895272177
20,0,14,19074,0.698400965
18,3,12,17271,0.77126281
41,2,9,16457,0.809382026
27,0,12,19941,0.667930395
27,1,13,18538,0.718461538
46,0,17,23670,0.562663709
43,5,18,20409,0.652469989
22,1,10,18960,0.702332806
18,12,5,9601,1.386949276
23,5,11,22523,0.591181459
15,0,17,16751,0.794858814
23,12,11,19019,0.7
28,2,17,22950,0.580042702
72,9,18,15740,0.845714104
31,1,5,19180,0.694
29,13,9,17266,0.770913935
61,19,9,19980,0.666126126
61,7,12,20501,0.649120531
57,7,16,18680,0.712376874
15,2,16,18351,0.725114163
16,9,4,19782,0.672613993
22,4,11,23393,0.568752191
18,0,15,20893,0.636692672
90,5,16,16389,0.811485753
67,0,16,18721,0.710355216
93,1,18,18706,0.710916818
22,0,13,15509,0.857446644
34,0,21,27243,0.488102632
62,0,8,15111,0.879950367
50,13,10,19450,0.683624679
42,2,13,20277,0.655733097
69,1,13,19878,0.668881175
46,0,17,18481,0.71942752
41,7,14,17132,0.776066425
21,1,7,18587,0.715281648
79,8,12,16882,0.787384789
25,10,13,17032,0.780354627
80,0,20,20481,0.648929252
24,5,12,19653,0.676182771
83,1,15,17563,0.756604225
15,0,19,17721,0.749834095
94,2,13,16188,0.820782679
25,0,17,17450,0.761368481
82,0,15,19190,0.692326212
26,3,12,16986,0.782127635
80,6,11,17213,0.771791669
16,2,13,19561,0.679137058
85,0,10,21639,0.613848607
19,5,9,15264,0.870158543
13,0,6,21672,0.612868217
18,16,7,9831,1.350971417
12,1,20,18214,0.729184693
33,0,12,20348,0.652656772
12,0,28,22475,0.590882759
55,8,8,20180,0.658079782
27,5,10,20125,0.659847453
18,0,10,14846,0.89439445
15,1,10,19670,0.675
42,0,19,21812,0.608685586
17,5,8,18280,0.72625
18,0,10,17333,0.765872036
104,0,16,20020,0.662994505
87,0,13,15254,0.870098335
32,6,17,19619,0.676481982
31,4,12,21330,0.622213315
20,5,15,17624,0.753035633
46,1,12,17872,0.742581692
65,8,15,15749,0.842568417
92,2,17,26482,0.501077713
94,5,6,16833,0.788211252
12,0,15,18582,0.713982887
52,2,12,17109,0.775408849
64,2,12,16102,0.823868464
77,2,15,18973,0.699151426
42,0,5,21190,0.626
48,1,7,23443,0.565828179
32,0,11,21159,0.626858547
22,2,10,18177,0.729634703
100,11,12,16160,0.820646658
35,0,10,21317,0.622025144
33,13,9,8838,1.5
49,0,9,18956,0.699331083
51,0,16,18293,0.724666266
80,0,16,30265,0.437980506
45,0,14,17804,0.744511346
36,2,10,19191,0.6906675
18,0,7,13537,0.979117234
97,4,13,16945,0.782100325
35,1,4,10840,1.2225
61,1,13,18540,0.714759978
38,0,14,21370,0.620057557
32,15,3,15588,0.85
65,2,10,16276,0.813964733
65,0,18,24501,0.540675891
13,7,8,11918,1.111428931
85,2,11,21361,0.620097842
78,1,15,21576,0.61387931
86,4,17,15513,0.853801328
24,1,13,15821,0.837087415
72,1,12,15411,0.859343326
91,0,11,22487,0.588885578
41,0,17,30744,0.430700625
13,4,23,14879,0.889802406
88,0,12,14963,0.884721647
49,1,19,17700,0.74790565
95,2,11,21637,0.611818182
75,2,14,16199,0.817142416
66,0,11,18042,0.73364372
44,4,12,18095,0.731494888
83,0,19,23596,0.560951432
71,0,14,16756,0.789931368
38,19,8,18576,0.7125
15,3,14,16863,0.784767835
53,6,19,20761,0.637391262
70,0,18,24142,0.54811946
24,17,4,18497,0.715388982
20,0,15,14944,0.885466408
35,19,2,13785,0.95987305
28,5,13,18789,0.704102933
17,1,11,18818,0.702998725
64,4,12,16500,0.801725455
13,0,13,17449,0.75793226
49,0,19,17162,0.770586761
90,2,20,14555,0.90849124
77,1,7,17774,0.743929898
106,8,12,15850,0.834108517
13,0,5,11002,1.201556081
39,1,23,21632,0.611048909
28,4,24,17879,0.739241568
113,2,30,21240,0.622219868
23,7,13,16257,0.812761272
69,4,13,16782,0.787273269
41,2,14,28872,0.457549183
78,0,13,17245,0.765984343
109,6,8,13659,0.967078117
66,8,13,16351,0.807765274
50,0,17,19161,0.689303272
35,11,10,21299,0.620045542
105,1,12,18123,0.728618882
32,8,2,15283,0.863974351
58,0,16,17106,0.771877119
20,1,19,17863,0.739128926
45,3,16,20545,0.642613288
98,0,14,17964,0.734876976
70,7,12,19171,0.68857128
82,0,6,10148,1.300733149
24,0,21,17681,0.74651151
46,4,15,19779,0.667315334
13,5,13,16836,0.783961155
33,0,13,19517,0.676212533
41,1,15,19590,0.673688617
54,5,6,9206,1.433472735
28,0,7,10331,1.277353596
41,0,34,16607,0.794598663
12,3,10,17486,0.754593961
24,2,25,17768,0.742610311
94,1,8,14988,0.880244863
47,4,16,20323,0.649001132
101,0,16,17532,0.752299795
31,1,10,15578,0.846657466
20,1,10,13878,0.950364606
68,4,15,17936,0.735293822
69,0,17,21784,0.60537321
33,1,10,18095,0.72874551
79,1,16,30588,0.431071989
25,4,16,22576,0.583997165
41,2,20,17759,0.742374571
98,0,15,15947,0.826551075
21,3,7,22327,0.590353832
100,0,20,14728,0.894928707
18,0,14,15895,0.829201636
112,1,9,13240,0.995468278
84,3,21,20644,0.638435865
24,2,20,24396,0.540240203
26,17,11,19154,0.68796596
17,4,8,18485,0.712857993
88,3,9,17399,0.757332031
24,19,2,20272,0.65
20,11,13,18761,0.70233463
48,3,9,18080,0.728768252
105,1,13,17041,0.773140074
44,0,16,21885,0.601995431
47,4,10,10572,1.246176693
32,1,10,17034,0.773423154
17,0,15,18852,0.698823467
17,2,10,17830,0.7388682
94,8,11,13400,0.983050746
39,2,16,14208,0.927124155
78,4,10,14201,0.927498064
46,0,19,19210,0.685647059
24,5,9,9880,1.333059717
42,1,13,17989,0.732102952
82,0,16,21269,0.619121726
66,1,13,23783,0.553674894
12,1,10,17686,0.744503562
13,0,10,17092,0.770369179
40,0,15,21455,0.613682591
80,4,18,16577,0.794222718
46,10,16,21455,0.613563272
77,4,20,16077,0.818742303
36,4,10,16432,0.80103761
58,7,16,15363,0.856703769
55,1,18,24067,0.546866248
25,7,15,15759,0.835088521
109,10,22,17671,0.744722992
76,6,9,16955,0.775820702
57,4,19,14615,0.900015737
109,4,13,15645,0.840713966
18,1,19,22657,0.580487708
16,1,12,21009,0.626018849
34,0,15,17148,0.766927922
19,5,9,15127,0.869373967
20,5,18,17606,0.746893673
14,1,13,19858,0.662182496
95,4,12,20016,0.65689948
26,1,14,15626,0.841331115
94,1,13,25460,0.516356245
26,0,22,20900,0.628998086
63,4,9,16928,0.776575496
47,2,18,15830,0.83042072
108,4,10,21340,0.616
27,1,7,21325,0.616374678
28,2,15,17941,0.732513238
17,2,15,23879,0.550320784
32,0,23,19316,0.680303375
94,17,8,18624,0.705570769
55,0,12,18278,0.718894299
27,6,13,19712,0.666590909
35,0,16,18931,0.694057894
85,5,6,18046,0.728037238
37,2,10,16098,0.816074046
22,4,16,18986,0.691919309
17,1,13,15080,0.871127321
20,0,15,26850,0.489254004
32,0,13,18842,0.69710328
30,0,17,19871,0.660947109
57,4,20,21192,0.619739996
33,3,15,19705,0.666484649
73,2,7,9626,1.364323707
30,3,9,18122,0.724672773
22,2,22,18281,0.71835567
107,2,12,16724,0.78515128
72,3,17,13850,0.948033213
80,3,9,19795,0.663275575
22,2,18,20198,0.650015843
13,0,12,23246,0.564753936
21,0,8,19024,0.690028385
34,6,11,24693,0.531604908
35,4,20,17082,0.768384264
98,0,16,19137,0.685868213
113,5,13,12236,1.0726373
20,0,9,17919,0.732379039
23,2,14,19522,0.672239525
92,7,11,19361,0.677817262
63,0,10,22726,0.577431576
86,0,17,19373,0.67726475
67,0,20,16662,0.787453487
